id,name,venue_type,cover,profile,upcoming_events
278,Teatro Mori Parque Arauco,Espacio Cultural,FALTA,FALTA,126
483,Paseo Los Dominicos (San Carlos),Cine,FALTA,FALTA,84
484,Santa Maria de Melipilla,Cine,FALTA,FALTA,52
289,Sala RBX,Sala de Concierto,FALTA,FALTA,18
412,El Colorado Centro de Ski,Bar,FALTA,ok,4
457,Aula Magna USACH,Sala de Concierto,FALTA,FALTA,3
288,"Antupirén #9401, Local A - Paseo El Sol, Peñalolen, Santiago De Chile",Espacio Cultural,FALTA,FALTA,1
475,Barrio Bellavista - Calle Constitución - Providencia,Bar,FALTA,FALTA,1
476,Circulo Español - Santiago Centro,Espacio Cultural,FALTA,FALTA,1
474,Club Hípico - Santiago Centro,Sala de Concierto,FALTA,FALTA,1
285,Coliseo Monumental de La Serena,Espacio Cultural,FALTA,FALTA,1
446,Distrito San Ignacio,Comedia,FALTA,FALTA,1
364,Escuela Teatro Imagen,Espacio Cultural,FALTA,FALTA,1
388,Espacio Checoslovaquia,Bar,FALTA,FALTA,1
365,Espacio El Chancho Con Chaleco,Sala de Concierto,FALTA,FALTA,1
425,Espacio La Rueda,Espacio Cultural,FALTA,FALTA,1
454,Ex Fábrica,Espacio Cultural,FALTA,FALTA,1
408,Gimnasio DB BOXING,Espacio Cultural,FALTA,FALTA,1
383,Gimnasio Nuevo Box,Espacio Cultural,FALTA,FALTA,1
416,"gimnasio unity las condes - Av. Las Condes 9460, Piso -1, 7591092 Las Condes, Región Metropolitana",Espacio Cultural,FALTA,FALTA,1
240,Hipódromo Chile - Independencia,Teatro,FALTA,FALTA,1
397,House Rock & Blues,Sala de Concierto,FALTA,FALTA,1
382,Impacto Club,Sala de Concierto,FALTA,FALTA,1
434,INACAP Vitacura,Espacio Cultural,FALTA,FALTA,1
415,Insert Coin Bar,Espacio Cultural,FALTA,FALTA,1
282,Insert Coin Ñuñoa,Bar,FALTA,FALTA,1
414,Jardín de Gente,Sala de Concierto,FALTA,FALTA,1
280,La Casona de Hilda Parra,Espacio Cultural,FALTA,FALTA,1
411,La Chimenea,Sala de Concierto,FALTA,FALTA,1
379,La Fuente Maestra,Espacio Cultural,FALTA,FALTA,1
400,La Quinta Murano's,Espacio Cultural,FALTA,FALTA,1
435,LA REINA (Por confirmar),Espacio Cultural,FALTA,FALTA,1
399,Loreto 435,Espacio Cultural,FALTA,FALTA,1
151,Monumento Natural El Morado,Monumento Natural,FALTA,FALTA,1
385,Multiespaciomitosdelmaipo,Espacio Cultural,FALTA,FALTA,1
477,Museo Nacional de Bellas Artes,Museo,FALTA,FALTA,1
391,Mystic Valley,Espacio Cultural,FALTA,FALTA,1
398,Nueva cero discotheque,Bar,FALTA,FALTA,1
378,Otto Fritz Restobar,Espacio Cultural,FALTA,FALTA,1
403,Parque La Araucana Pehuèn,Museo,FALTA,FALTA,1
143,Parque Mahuida,Parque,FALTA,FALTA,1
393,Pehuen SPA,Sala de Concierto,FALTA,FALTA,1
284,Por Confirmar,Espacio Cultural,FALTA,FALTA,1
353,Refugio del Sol,Sala de Concierto,FALTA,FALTA,1
377,Restaurant El 7,Espacio Cultural,FALTA,FALTA,1
410,Restobar La Turbina,Espacio Cultural,FALTA,FALTA,1
409,Restobar Lomito Bueno,Espacio Cultural,FALTA,FALTA,1
389,Sala Voy y Vuelvo,Comedia,FALTA,FALTA,1
402,Salon Bearcade,Espacio Cultural,FALTA,FALTA,1
453,Salón de Honor Álvaro del Portillo,Teatro,FALTA,FALTA,1
386,Teatro Comunitario Novedades,Teatro,FALTA,FALTA,1
419,Teatro del Puente,Teatro,FALTA,FALTA,1
279,Teatro Educativo de las Artes de Panguipulli,Teatro,FALTA,FALTA,1
290,Teatro ex Mundo Magico,Espacio Cultural,FALTA,FALTA,1
283,Teatro Municipal Antofagasta,Espacio Cultural,FALTA,FALTA,1
265,Teatro Palermo  Puente Alto,Teatro,FALTA,FALTA,1
413,Technobus,Espacio Cultural,FALTA,FALTA,1
449,Tio Tomate,Comedia,FALTA,FALTA,1
380,Tvn,Espacio Cultural,FALTA,FALTA,1
387,VIVO Los Trapenses,Bar,FALTA,FALTA,1
401,Wao 2.0,Sala de Concierto,FALTA,FALTA,1
350,2.0 Premium,Espacio Cultural,FALTA,FALTA,0
441,2.0 San Pablo,Bar,FALTA,FALTA,0
322,Asociación Enoturismo Chile,Espacio Cultural,FALTA,FALTA,0
439,Asuncion #426 esquina Patronato,Bar,FALTA,FALTA,0
363,Auditorio Universidad Autónoma de Chile,Espacio Cultural,FALTA,FALTA,0
327,Aura club,Espacio Cultural,FALTA,FALTA,0
25,Bar Loreto,Bar,FALTA,FALTA,0
315,Bar Ramblas,Bar,FALTA,FALTA,0
447,Boston College Maipú,Espacio Cultural,FALTA,FALTA,0
342,Botánico Centro De Eventos,Espacio Cultural,FALTA,FALTA,0
249,Calabria Restobar,Espacio Cultural,FALTA,FALTA,0
266,Casa Bellavista,Bar,FALTA,FALTA,0
28,Casa Conejo,Bar,FALTA,FALTA,0
348,Casa Mayor De Chena,Sala de Concierto,FALTA,FALTA,0
103,Centro Cultural El Tranque,Centro Cultural,FALTA,FALTA,0
52,Centro Cultural Lo Prado,Teatro,FALTA,FALTA,0
99,Centro Cultural Palacio de la Alhambra (SNBA),Centro Cultural,FALTA,FALTA,0
323,Centro de Eventos Ignis,Bar,FALTA,FALTA,0
426,Centro de eventos Tumbaos,Espacio Cultural,FALTA,FALTA,0
144,Cerro Manquehue,Cerro,FALTA,FALTA,0
146,Cerro Pochoco,Cerro,FALTA,FALTA,0
145,Cerro Provincia,Cerro,FALTA,FALTA,0
156,Cerro Santa Lucía,Cerro,FALTA,FALTA,0
115,Cineteca U de Chile,Cine,FALTA,ok,0
334,Club Caribeño,Bar,FALTA,FALTA,0
431,Club de la Unión,Club,FALTA,ok,0
267,Club La Casona,Espacio Cultural,FALTA,FALTA,0
321,Club La Rubia,Bar,FALTA,FALTA,0
337,Club Olimpo,Sala de Concierto,FALTA,FALTA,0
243,Club Soda Bellavista,Espacio Cultural,FALTA,FALTA,0
341,Cocina Clandestina,Espacio Cultural,FALTA,FALTA,0
331,Comadre Lola,Espacio Cultural,FALTA,FALTA,0
244,Costa cuervo Chillán Discoteca,Espacio Cultural,FALTA,FALTA,0
269,Coyotes Club Maipu,Bar,FALTA,FALTA,0
424,Csa,Espacio Cultural,FALTA,FALTA,0
324,Divino Maipo,Sala de Concierto,FALTA,FALTA,0
422,Edificio Deportes CD UC,Espacio Cultural,FALTA,FALTA,0
356,El 7 Restorant,Espacio Cultural,FALTA,FALTA,0
376,Espacio Cero,Bar,FALTA,FALTA,0
340,Espacio Cinza,Espacio Cultural,FALTA,FALTA,0
246,Espacio Municipal de La Pintana,Espacio Cultural,FALTA,FALTA,0
444,Estadio Barnechea,Espacio Cultural,FALTA,FALTA,0
345,Estadio Estrella M. Rodriguez,Espacio Cultural,FALTA,FALTA,0
253,Estadio German Becker,Bar,FALTA,FALTA,0
251,Estadio La Granja,Espacio Cultural,FALTA,FALTA,0
314,Estadio Lo Barnechea,Espacio Cultural,FALTA,FALTA,0
255,Estadio Municipal de Recoleta Leonel Sánchez,Espacio Cultural,FALTA,FALTA,0
257,Estadio Municipal De Rengo,Espacio Cultural,FALTA,FALTA,0
258,Estadio Tucapel Bustamante Lastra,Espacio Cultural,FALTA,FALTA,0
440,Ex Restaurante Granja Educativa,Bar,FALTA,FALTA,0
346,Factoría Franklin,Espacio Cultural,FALTA,FALTA,0
317,Facultad de Teatro Universidad Mayor,Cine,FALTA,FALTA,0
17,Fortunatos Bar,Bar,FALTA,ok,0
349,Fuente Maestra Chicureo,Comedia,FALTA,FALTA,0
256,Gimnasio Carlos Flores,Espacio Cultural,FALTA,FALTA,0
19,Gran Refugio Mall Plaza Egaña,Bar,ok,FALTA,0
442,Hangar,Bar,FALTA,FALTA,0
254,Harvard Bellavista,Bar,FALTA,FALTA,0
264,Hijas del Trabajo - Miraflores #1058,Bar,FALTA,FALTA,0
259,Hilaria,Espacio Cultural,FALTA,FALTA,0
245,Hotel Best Western Marina Las Condes,Espacio Cultural,FALTA,FALTA,0
260,Hotel Cumbres Lastarria,Museo,FALTA,FALTA,0
247,Hotel Pullman Santiago Vitacura,Bar,FALTA,FALTA,0
273,Hotel Pullman Vitacura,Espacio Cultural,FALTA,FALTA,0
368,Incognito,Sala de Concierto,FALTA,FALTA,0
370,La Juguera,Espacio Cultural,FALTA,FALTA,0
355,Maestra Vida,Espacio Cultural,FALTA,FALTA,0
248,Mall Arauco el Bosque,Espacio Cultural,FALTA,FALTA,0
362,Mercado Urbano Tobalaba,Teatro,FALTA,FALTA,0
332,Mi Bar,Espacio Cultural,FALTA,FALTA,0
352,Montañita Restobar Las Vizcachas,Bar,FALTA,FALTA,0
374,Munich Malloco,Espacio Cultural,FALTA,FALTA,0
443,Municipal Irene Velásquez,Espacio Cultural,FALTA,FALTA,0
79,Museo de Arte Contemporáneo (MAC) – Quinta Normal,Museo,ok,FALTA,0
478,Museo de Arte Contemporáneo MAC Quinta Normal,Museo,FALTA,FALTA,0
91,Museo Postal y Telegráfico,Museo,ok,FALTA,0
171,Parque André Jarlán,Parque,FALTA,FALTA,0
159,Parque Araucano,Parque,FALTA,FALTA,0
170,Parque Bernardo Leighton,Parque,FALTA,FALTA,0
157,Parque Bicentenario de Cerrillos,Parque,FALTA,FALTA,0
158,Parque Bicentenario de la Infancia,Parque,FALTA,FALTA,0
153,Parque Bosque Panul,Bosque,FALTA,FALTA,0
155,Parque Cerro del Medio,Parque,FALTA,FALTA,0
163,Parque de la Familia,Parque,FALTA,FALTA,0
177,Parque de las Esculturas,Parque,FALTA,FALTA,0
162,Parque de los Reyes,Parque,FALTA,FALTA,0
166,Parque Estadio Nacional,Parque,FALTA,FALTA,0
161,Parque Forestal,Parque,FALTA,FALTA,0
164,Parque Inés de Suárez,Parque,FALTA,FALTA,0
167,Parque La Bandera,Parque,FALTA,FALTA,0
169,Parque La Castrina,Parque,FALTA,FALTA,0
174,Parque La Reina,Parque,FALTA,FALTA,0
180,Parque las Hualtatas,Parque,FALTA,FALTA,0
154,Parquemet Bosque Santiago,Bosque,FALTA,FALTA,0
141,Parque Metropolitano de Santiago,Parque,FALTA,FALTA,0
168,Parque Municipal Pueblito de Las Vizcachas,Parque,FALTA,FALTA,0
152,Parque Nacional Río Clarillo,Parque Nacional,FALTA,FALTA,0
149,Parque Natural Quebrada de Macul,Parque,FALTA,FALTA,0
165,Parque Observatorio Cerro Calán,Parque,FALTA,FALTA,0
271,Parque Orione  (Ex Cuca Lonquen),Espacio Cultural,FALTA,FALTA,0
172,Parque Pierre Dubois,Parque,FALTA,FALTA,0
160,Parque Quinta Normal,Parque,FALTA,FALTA,0
175,Parque Ramón Cruz,Parque,FALTA,FALTA,0
173,Parque San Borja,Parque,FALTA,FALTA,0
176,Parque Santa Rosa de Apoquindo,Parque,FALTA,FALTA,0
179,Parque Viña Cousiño Macul,Parque,FALTA,FALTA,0
357,Patio Bulnes,Espacio Cultural,FALTA,FALTA,0
333,Peluquería Francesa,Espacio Cultural,FALTA,FALTA,0
417,Planetario de Santiago,Comedia,FALTA,FALTA,0
261,Polideportivo La Florida,Espacio Cultural,FALTA,FALTA,0
372,Porto Alegre,Bar,FALTA,FALTA,0
423,Pueblito Las Vizcachas,Espacio Cultural,FALTA,FALTA,0
276,Radisson Blu Plaza El Bosque Santiago Chile,Espacio Cultural,FALTA,FALTA,0
329,Restaurante Irasushi,Bar,FALTA,FALTA,0
469,Saint George's College,Espacio Cultural,FALTA,FALTA,0
150,Santuario de la Naturaleza Yerba Loca,Santuario,FALTA,FALTA,0
369,Teatro (Bar la Trova),Teatro,FALTA,FALTA,0
56,Teatro Roma,Teatro,FALTA,FALTA,0
335,Terraza Arrayan,Bar,FALTA,FALTA,0
